identity_id,name,email,type,department,hire_date,termination_date,is_terminated,last_role_change_date,manager
ID0001,Allison Hill,donaldgarcia@mcclain.com,employee,Legal,2024-09-23,2025-10-09,True,2024-12-04,
ID0002,David Guzman,jennifermiles@robinson-lawrence.com,employee,Legal,2024-10-30,,False,,
ID0003,Caitlin Henderson,eric51@james.com,employee,Engineering,2019-05-11,,False,2021-10-23,
ID0004,Renee Blair,dudleynicholas@carter.com,employee,Finance,2020-04-24,,False,,
ID0005,Michele Williams,kendragalloway@delacruz.com,employee,Legal,2018-09-10,,False,,
ID0006,Roy Martin,jason41@reid.info,employee,IT,2019-05-16,,False,,
ID0007,William Bowman,gabriellecameron@perez.com,employee,Finance,2021-03-28,,False,2025-07-09,
ID0008,Austin Gentry,jason76@ellis.net,employee,HR,2024-10-31,2025-05-18,True,,
ID0009,Nicole Patterson,icox@snyder.com,employee,HR,2019-03-18,,False,2024-05-12,
ID0010,Rebecca Henderson,cruzcaitlin@rice-maddox.com,employee,Sales,2024-07-30,,False,,
ID0011,Ashley Dyer,kayla51@graham-chavez.com,employee,Sales,2022-09-10,,False,,
ID0012,Pamela Romero,harrellkenneth@romero.com,employee,HR,2019-07-04,,False,2022-01-23,
ID0013,Paula Moreno,georgetracy@hickman.com,employee,HR,2025-01-31,,False,,
ID0014,Shawn Arroyo,dennislisa@cannon.net,employee,IT,2022-11-11,,False,,
ID0015,Joseph Obrien,sarahcampos@harris.com,employee,Finance,2021-10-29,,False,,
ID0016,Joseph Martinez,calebsmith@hall.com,employee,Legal,2018-04-25,,False,,
ID0017,Taylor Heath,palmerjoshua@lewis-anderson.org,employee,Finance,2019-12-28,,False,2024-03-31,
ID0018,Dana Kennedy,glee@jordan.com,employee,HR,2018-10-20,,False,2022-06-10,
ID0019,Victoria Garcia,zchandler@wright.net,employee,Engineering,2023-05-30,,False,,
ID0020,Javier Ramirez,nancyjones@garcia.com,employee,IT,2022-12-23,2024-11-02,True,,
ID0021,Tammy Allison,richardolson@barrera-martin.com,employee,HR,2023-08-06,,False,,
ID0022,Mrs. Rachel Gibson,uhorton@stanley.com,employee,Legal,2020-10-31,,False,2023-10-13,
ID0023,Lauren Daniels,brian97@calhoun.net,employee,Legal,2019-06-04,,False,,
ID0024,Cody Larson,richarddavid@sanchez.biz,employee,HR,2023-07-09,,False,2026-04-15,
ID0025,Krystal Stewart,james53@foster-powers.com,employee,Engineering,2025-06-14,,False,2025-09-04,
ID0026,Timothy Walls,ellisyolanda@jones.net,employee,Legal,2021-03-30,,False,,
ID0027,Timothy Ibarra,mikemoore@warner.net,employee,Sales,2020-09-23,,False,,
ID0028,Robert Evans,mcmillandennis@preston.net,employee,Engineering,2018-05-08,,False,,
ID0029,Douglas Clark,james48@king-odonnell.com,employee,Sales,2022-12-27,,False,,
ID0030,Jeff Hill,cookdavid@martin-ramos.biz,employee,HR,2021-02-07,,False,2025-02-25,
ID0031,Ashley Landry,amydavenport@tran.com,employee,Legal,2023-01-10,,False,,
ID0032,Rebecca Valencia,jason31@deleon-henson.biz,employee,Sales,2024-10-14,,False,,
ID0033,Nicole Frost,michellecherry@keith.com,employee,Legal,2020-04-14,,False,2022-02-05,
ID0034,Evelyn Galvan,josephcobb@reyes.info,employee,Sales,2020-01-12,,False,,
ID0035,Robert Stevens,lori33@keller.com,employee,IT,2025-10-05,2027-01-19,True,,
ID0036,Benjamin Ayala,darlene68@crosby-wilson.com,employee,HR,2023-04-18,2026-01-11,True,,
ID0037,Victor Baker,carlsonmichael@graham-joyce.com,employee,Engineering,2025-01-07,,False,,
ID0038,Kenneth Scott,zsmith@mcdaniel.com,employee,Sales,2024-07-26,,False,,
ID0039,Benjamin Beck,cindy14@parker.com,employee,Sales,2024-02-16,,False,,
ID0040,Cheryl Ortega,lbyrd@carroll.com,employee,IT,2023-08-09,,False,,
ID0041,Jeffrey Carpenter,steven73@kennedy.com,employee,Legal,2023-09-22,,False,,
ID0042,Diane Beck,clarence34@drake.com,employee,Legal,2018-09-10,,False,,
ID0043,William Carr,gibsonolivia@lee.com,employee,IT,2024-08-15,,False,2024-09-06,
ID0044,Michael Stafford,osbornejeffery@holmes.com,employee,Sales,2019-10-08,,False,2020-07-25,
ID0045,Robert Contreras,stephanie79@mcclain.info,employee,Legal,2018-11-26,2019-05-14,True,,
ID0046,Natasha Wells,karen48@sims-hill.com,employee,HR,2025-03-08,,False,,
ID0047,Cynthia Rogers,taylorjesse@hernandez.com,employee,IT,2023-07-30,,False,,
ID0048,Jennifer Clark,xprice@shah.org,employee,Sales,2019-07-08,,False,,
ID0049,Aaron Bell,acastaneda@adkins.com,employee,IT,2023-11-05,2025-12-18,True,,
ID0050,Don Tucker MD,dramsey@hooper.com,employee,IT,2021-05-15,,False,,
ID0051,Leslie Alvarado,dayderek@white-green.com,employee,Legal,2018-08-26,,False,2023-03-03,
ID0052,Gabriel Juarez,aramirez@conley-ruiz.net,employee,Legal,2022-03-05,,False,2023-04-02,
ID0053,Trevor Walker,harringtondenise@herring.com,employee,Finance,2019-12-19,,False,,
ID0054,Cynthia Wells,elliottjeffery@scott.com,employee,HR,2020-10-16,,False,,
ID0055,Carla Collins,hickmanbarbara@sanders-espinoza.com,employee,IT,2019-10-22,2021-11-27,True,,
ID0056,Sandra Sanchez,melissa91@patton.com,employee,Engineering,2024-12-06,,False,,
ID0057,Matthew Smith,gshort@yu-reid.info,employee,Finance,2021-06-03,,False,2023-09-03,
ID0058,Jessica Gross,christina87@graham-simon.com,employee,Engineering,2024-02-18,,False,,
ID0059,David Michael,nicole37@bishop.com,employee,HR,2020-11-16,,False,,
ID0060,Daniel Salinas,joshua94@smith.biz,employee,Legal,2019-09-30,,False,,
ID0061,Peter Vaughn DDS,bwest@phillips.com,employee,Finance,2022-08-26,,False,2025-09-10,
ID0062,Kevin Kennedy,ronald85@warner-nelson.com,employee,Engineering,2022-06-18,2024-05-16,True,,
ID0063,Nathan Stewart,jamesrodgers@hardy-bray.net,employee,Sales,2024-03-19,2025-11-29,True,2024-09-26,
ID0064,Veronica Wall,jeremy24@erickson.com,employee,Engineering,2019-04-22,2021-12-29,True,2019-08-23,
ID0065,Anthony Carter,danamullins@salas.com,employee,Sales,2023-03-21,,False,2023-09-05,
ID0066,Jeremiah Lopez,kingmichelle@short.info,employee,IT,2018-08-10,,False,,
ID0067,Mark Brown,lisaavery@mcknight.net,employee,HR,2023-09-09,,False,,
ID0068,Lisa Gibbs,kimberlyjames@evans-chapman.biz,employee,HR,2021-07-16,,False,,
ID0069,Marc Lynch,mezajared@baker.com,employee,IT,2022-06-07,,False,,
ID0070,Juan Moore,mhayes@carter-hall.com,employee,Engineering,2020-11-02,,False,,
ID0071,Jordan Mcdaniel,kristin93@wilson-walker.com,employee,Engineering,2025-02-26,,False,,
ID0072,Samantha Jones,lauralarson@morse.com,employee,Finance,2022-01-24,,False,,
ID0073,Terri Mason,mkim@preston.com,employee,HR,2022-10-13,,False,,
ID0074,Allison Perez,keyemily@johnston-hines.com,employee,Legal,2022-08-02,,False,,
ID0075,Matthew Moon,wendygraham@costa-harrison.biz,employee,Legal,2020-01-18,2022-08-11,True,,
ID0076,Michael Hodge,robert74@landry.info,employee,Legal,2024-10-25,,False,2025-02-21,
ID0077,David Wilson,ahancock@booth.net,employee,Engineering,2019-10-10,,False,,
ID0078,Peter Garrett,harrisandrea@kim-wolfe.com,employee,Finance,2022-02-18,,False,,
ID0079,Mark Lloyd,lancesmith@davis-gay.com,employee,HR,2020-04-23,,False,,
ID0080,Bruce Collier,scantu@thornton.info,employee,Engineering,2024-12-10,,False,,
ID0081,Juan Reyes,michellehill@morgan-french.com,employee,Engineering,2025-12-09,,False,2026-02-15,
ID0082,Diane Evans,cgrimes@washington.biz,employee,Finance,2021-01-09,,False,,
ID0083,Frank Lopez,ashleyhall@williams-garner.biz,employee,Engineering,2024-09-21,2026-12-07,True,,
ID0084,Matthew Hoover,tylerjohnson@sanford.info,employee,Sales,2025-07-29,,False,,
