identity_id,platform,platform_username,ou,status,role_or_group,privilege_level,last_login,mfa_enabled,api_key_age_days,department,admin_justified,token_scope
ID0001,AD,allison.hill,"OU=Legal,OU=Users,DC=corp,DC=socgen,DC=com",disabled,GG-Legal-Staff|GG-DLP-Policy,standard,2025-10-11,True,,Legal,False,
ID0001,AWS,allison-hill,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2026-04-03,False,29.0,Legal,False,read_only
ID0001,Okta,allison.hill@socgen.com,,active,SharePoint|Slack|DocuSign|Relativity,standard,2026-03-31,False,,Legal,False,
ID0002,AD,david.guzman,"OU=Legal,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Legal-Staff|GG-DLP-Policy,standard,2025-08-19,True,,Legal,False,
ID0002,AWS,david-guzman,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-10-24,False,153.0,Legal,False,read_only
ID0002,Okta,david.guzman@socgen.com,,active,SharePoint|Slack|DocuSign|Relativity,standard,2026-02-12,True,,Legal,False,
ID0003,AD,caitlin.henderson,"OU=Engineering,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Dev-Staff|GG-Git-Users|GG-VPN-Access,standard,2025-07-07,True,,Engineering,False,
ID0003,AWS,caitlin-henderson,,active,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,standard,2025-06-01,True,138.0,Engineering,False,read_only
ID0003,Okta,caitlin.henderson@socgen.com,,active,GitHub Enterprise|AWS SSO|Jira|Slack|Confluence,standard,2025-12-28,True,,Engineering,False,
ID0004,AD,renee.blair,"OU=Finance,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Finance-Staff|GG-SAP-Users|GG-ReadOnly-FS,standard,2026-01-21,False,,Finance,False,
ID0004,AWS,renee-blair,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess,standard,2025-02-17,False,1.0,Finance,False,read_only
ID0004,Okta,renee.blair@socgen.com,,active,SAP S4HANA|Workday|Slack|Concur,standard,2026-02-06,True,,Finance,False,
ID0005,AD,michele.williams,"OU=Legal,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Legal-Staff|GG-DLP-Policy,elevated,2025-10-04,True,,Legal,False,
ID0005,AWS,michele-williams,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-04-16,False,77.0,Legal,False,read_only
ID0005,Okta,michele.williams@socgen.com,,active,SharePoint|Slack|DocuSign|Relativity,standard,2025-10-04,True,,Legal,False,
ID0006,AD,roy.martin,"OU=IT,OU=Privileged,DC=corp,DC=socgen,DC=com",active,GG-IT-Staff|GG-Infra-Ops|GG-ServiceDesk|GG-Domain-Admins,admin,2025-06-18,False,,IT,True,
ID0006,AWS,roy-martin,,active,arn:aws:iam::aws:policy/AdministratorAccess,admin,2025-06-18,False,139.0,IT,True,admin
ID0006,Okta,roy.martin@socgen.com,,active,AWS SSO|GitHub Enterprise|ServiceNow|Slack|CyberArk|Okta Admin Console,admin,2025-06-18,True,,IT,True,
ID0007,AD,william.bowman,"OU=Finance,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Finance-Staff|GG-SAP-Users|GG-ReadOnly-FS,standard,2025-10-13,True,,Finance,False,
ID0007,AWS,william-bowman,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess,standard,2025-03-28,True,737.0,Finance,False,read_only
ID0007,Okta,william.bowman@socgen.com,,active,SAP S4HANA|Workday|Slack|Concur,standard,2026-02-18,True,,Finance,False,
ID0008,AD,austin.gentry,"OU=HR,OU=Users,DC=corp,DC=socgen,DC=com",disabled,GG-HR-Staff|GG-HRIS-Access,standard,2025-06-11,False,,HR,False,
ID0008,AWS,austin-gentry,,inactive,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-09-21,True,195.0,HR,False,read_only
ID0008,Okta,austin.gentry@socgen.com,,active,Workday|Slack|ServiceNow|BambooHR,standard,2026-04-16,False,,HR,False,
ID0009,AD,nicole.patterson,"OU=HR,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-HR-Staff|GG-HRIS-Access,standard,2025-09-12,True,,HR,False,
ID0009,AWS,nicole-patterson,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-11-16,True,156.0,HR,False,read_only
ID0009,Okta,nicole.patterson@socgen.com,,active,Workday|Slack|ServiceNow|BambooHR,standard,2025-09-17,True,,HR,False,
ID0010,AD,rebecca.henderson,"OU=Sales,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Sales-Staff|GG-CRM-Access,elevated,2025-06-20,False,,Sales,False,
ID0010,AWS,rebecca-henderson,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-07-23,True,172.0,Sales,False,read_only
ID0010,Okta,rebecca.henderson@socgen.com,,active,Salesforce|Slack|Zoom|HubSpot,standard,2025-11-08,False,,Sales,False,
ID0011,AD,ashley.dyer,"OU=Sales,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Sales-Staff|GG-CRM-Access,standard,2026-04-20,True,,Sales,False,
ID0011,AWS,ashley-dyer,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2026-06-10,False,87.0,Sales,False,read_only
ID0011,Okta,ashley.dyer@socgen.com,,active,Salesforce|Slack|Zoom|HubSpot,standard,2025-09-10,True,,Sales,False,
ID0012,AD,pamela.romero,"OU=HR,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-HR-Staff|GG-HRIS-Access,standard,2025-08-23,True,,HR,False,
ID0012,AWS,pamela-romero,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2026-02-23,True,426.0,HR,False,read_only
ID0012,Okta,pamela.romero@socgen.com,,active,Workday|Slack|ServiceNow|BambooHR,standard,2026-06-04,True,,HR,False,
ID0013,AD,paula.moreno,"OU=HR,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-HR-Staff|GG-HRIS-Access,elevated,2026-05-15,True,,HR,False,
ID0013,AWS,paula-moreno,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2026-03-03,False,125.0,HR,False,read_only
ID0013,Okta,paula.moreno@socgen.com,,active,Workday|Slack|ServiceNow|BambooHR,standard,2026-04-14,False,,HR,False,
ID0014,AD,shawn.arroyo,"OU=IT,OU=Privileged,DC=corp,DC=socgen,DC=com",active,GG-IT-Staff|GG-Infra-Ops|GG-ServiceDesk|GG-Domain-Admins,admin,2026-02-16,False,,IT,True,
ID0014,AWS,shawn-arroyo,,active,arn:aws:iam::aws:policy/AdministratorAccess,admin,2026-05-03,True,49.0,IT,True,admin
ID0014,Okta,shawn.arroyo@socgen.com,,active,AWS SSO|GitHub Enterprise|ServiceNow|Slack|CyberArk|Okta Admin Console,admin,2025-11-12,True,,IT,True,
