Rank,User Name,Display Name,Department,Identity Type,Platforms,Risk Score,Severity,Detected Risks,days_since_last_login,direct_groups,all_effective_groups,inherited_via,AWS_api_key_age
1,mrs..gibson,Mrs. Rachel Gibson,Legal,Employee,"Active Directory, AWS IAM, Okta",100.0,Critical,"Token Abuse, Dormant Admin, Cross-Platform Admin",237,Relativity|GG-DLP-Policy|GG-Domain-Admins|Slack|GG-Legal-Staff|arn:aws:iam::aws:policy/AdministratorAccess|SharePoint|DocuSign,Relativity|GG-DLP-Policy|GG-Domain-Admins|Slack|GG-Legal-Staff|arn:aws:iam::aws:policy/AdministratorAccess|SharePoint|DocuSign,,854.0
2,james.conner,James Conner,IT,Employee,"AWS IAM, Okta",100.0,Critical,"Offboarding Gap, Token Abuse, Dormant Admin, Hidden Admin",333,ServiceNow|Slack|GG-ServiceDesk|GG-IT-Staff|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins,412.0
3,joshua.white,Joshua White,Engineering,Employee,"Active Directory, AWS IAM, Okta",100.0,Critical,"Token Abuse, Dormant Admin, Cross-Platform Admin",128,Slack|GG-Domain-Admins|Jira|GG-VPN-Access|GitHub Enterprise|Confluence|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Git-Users|GG-Dev-Staff,Slack|GG-Domain-Admins|Jira|GG-VPN-Access|GitHub Enterprise|Confluence|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Git-Users|GG-Dev-Staff,,556.0
4,danielle.burke,Danielle Burke,Sales,Employee,"Active Directory, AWS IAM, Okta",100.0,Critical,"Privilege Spike, Dormant Admin, Cross-Platform Admin",214,Slack|GG-Domain-Admins|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|arn:aws:iam::aws:policy/AdministratorAccess|Zoom,Slack|GG-Domain-Admins|Salesforce|GG-CRM-Access|GG-Sales-Staff|arn:aws:iam::aws:policy/AdministratorAccess|Zoom|HubSpot,,64.0
5,melissa.williams,Melissa Williams,HR,Employee,"Active Directory, AWS IAM, Okta",100.0,Critical,"Token Abuse, Privilege Spike, Dormant Admin, Cross-Platform Admin",196,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,,718.0
6,trevor.walker,Trevor Walker,Finance,Employee,"Active Directory, AWS IAM, Okta",100.0,Critical,"Privilege Spike, Dormant Admin, Cross-Platform Admin",231,Workday|Slack|GG-Domain-Admins|GG-ReadOnly-FS|Concur|SAP S4HANA|arn:aws:iam::aws:policy/AdministratorAccess|GG-SAP-Users|GG-Finance-Staff,Workday|Slack|GG-Domain-Admins|GG-ReadOnly-FS|Concur|SAP S4HANA|arn:aws:iam::aws:policy/AdministratorAccess|GG-SAP-Users|GG-Finance-Staff,,191.0
7,cameron.fisher,Cameron Fisher,HR,Employee,"Active Directory, AWS IAM, Okta",100.0,Critical,"Privilege Spike, Dormant Admin, Cross-Platform Admin",137,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,,130.0
8,aaron.bell,Aaron Bell,IT,Employee,"AWS IAM, Okta",85.0,Critical,"Offboarding Gap, Dormant Admin, Hidden Admin",295,ServiceNow|Slack|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins,162.0
9,tom.williams,Tom Williams,IT,Employee,Okta,85.0,Critical,"Offboarding Gap, Dormant Admin, Hidden Admin",194,ServiceNow|Slack|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins,49.0
10,javier.ramirez,Javier Ramirez,IT,Employee,"AWS IAM, Okta",85.0,Critical,"Offboarding Gap, Dormant Admin, Hidden Admin",233,ServiceNow|Slack|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins,188.0
